Name,Address,State,Latitude,Longitude
Hugo's Family Marketplace,"1925 13th Ave N, Grand Forks",ND,47.93150560000001,-97.0545389
Hugo's Family Marketplace,"1315 S Columbia Rd, Grand Forks",ND,47.908494,-97.06413
Target Grocery,"3601 32nd Ave S, Grand Forks",ND,47.88664139999999,-97.0799518
Hugo's Family Marketplace,"1631 S Washington St, Grand Forks",ND,47.90455859999999,-97.0441936
Hugoâ€™s Pure Market,"500 Demers Ave, Grand Forks",ND,47.923594,-97.0330066
Hugo's Family Marketplace,"1750 32nd Ave S A # A, Grand Forks",ND,47.89039529999999,-97.0530051
Natural Grocers,"1901 32nd Ave S, Grand Forks",ND,47.8883047,-97.0553302
ALDI,"2771 32nd Ave S, Grand Forks",ND,47.8876192,-97.0688805
Tobiason Potato Co,"216 Gateway Dr, Grand Forks",ND,47.9332432,-97.044064
FM International Market,"205 N Washington St, Grand Forks",ND,47.9214096,-97.0453315
Walmart Supercenter,"2551 32nd Ave S, Grand Forks",ND,47.8871396,-97.0640717
Walmart Supercenter,"5755 Gateway Dr, Grand Forks",ND,47.9302179,-97.1133354
Toucan International Market,"1826 S Washington St # 62, Grand Forks",ND,47.9026004,-97.0488319
La Rancherita Mexican Market #2,"1811 S Washington St, Grand Forks",ND,47.9025325,-97.0439814
Al Amiin Grocery & Halal Meats,"1448 S Washington St, Grand Forks",ND,47.9062291,-97.0457541
Safari Market,"1020 S Washington St, Grand Forks",ND,47.91155510000001,-97.0453587
Family Dollar,"1720 S Washington St, Grand Forks",ND,47.9030366,-97.0473441
